gpu_max_hw_queues,num_streams,run_id,time_ms
1,1,1,17.1802
1,1,2,15.0991
1,1,3,16.3211
1,1,4,15.1966
1,2,1,22.0888
1,2,2,22.7931
1,2,3,22.0979
1,2,4,21.1837
1,4,1,36.3588
1,4,2,36.3878
1,4,3,36.0169
1,4,4,36.9224
1,8,1,64.7841
1,8,2,64.0302
1,8,3,63.3546
1,8,4,65.0561
1,16,1,119.121
1,16,2,118.828
1,16,3,118.932
1,16,4,130.502
1,24,1,173.701
1,24,2,172.935
1,24,3,172.031
1,24,4,191.193
1,32,1,228.724
1,32,2,227.457
1,32,3,227.977
1,32,4,229.49
2,1,1,15.369
2,1,2,15.9866
2,1,3,15.6705
2,1,4,14.4765
2,2,1,21.3655
2,2,2,74.1873
2,2,3,21.3215
2,2,4,22.1931
2,4,1,34.3488
2,4,2,33.7094
2,4,3,33.4715
2,4,4,33.9676
2,8,1,60.8086
2,8,2,58.6328
2,8,3,59.9782
2,8,4,58.8053
2,16,1,113.831
2,16,2,112.547
2,16,3,108.917
2,16,4,108.832
2,24,1,162.727
2,24,2,159.911
2,24,3,158.879
2,24,4,158.9
2,32,1,209.857
2,32,2,209.986
2,32,3,209.257
2,32,4,211
4,1,1,15.476
4,1,2,16.3186
4,1,3,15.6795
4,1,4,15.3281
4,2,1,21.1697
4,2,2,22.1504
4,2,3,21.5773
4,2,4,21.9962
4,4,1,35.93
4,4,2,35.6656
4,4,3,35.469
4,4,4,36.168
4,8,1,63.8254
4,8,2,64.009
4,8,3,64.0554
4,8,4,64.2141
4,16,1,119.356
4,16,2,119.506
4,16,3,118.828
4,16,4,119.091
4,24,1,175.411
4,24,2,174.728
4,24,3,174.673
4,24,4,175.278
4,32,1,231.901
4,32,2,230.196
4,32,3,230.403
4,32,4,230.76
8,1,1,15.164
8,1,2,15.2746
8,1,3,15.1786
8,1,4,15.2068
8,2,1,21.8375
8,2,2,20.8424
8,2,3,21.0084
8,2,4,22.941
8,4,1,35.4588
8,4,2,35.551
8,4,3,35.913
8,4,4,35.4148
8,8,1,63.248
8,8,2,64.2832
8,8,3,63.3318
8,8,4,63.028
8,16,1,120.934
8,16,2,120.417
8,16,3,121.207
8,16,4,120.371
8,24,1,176.677
8,24,2,175.014
8,24,3,175.815
8,24,4,176.25
8,32,1,232.095
8,32,2,231.769
8,32,3,231.958
8,32,4,231.766
16,1,1,15.0372
16,1,2,15.0121
16,1,3,14.9112
16,1,4,15.1111
16,2,1,21.6475
16,2,2,21.4374
16,2,3,21.6912
16,2,4,20.9096
16,4,1,35.9225
16,4,2,35.8035
16,4,3,37.2192
16,4,4,36.4365
16,8,1,64.6431
16,8,2,63.8631
16,8,3,63.4069
16,8,4,63.4619
16,16,1,120.323
16,16,2,121.02
16,16,3,121.629
16,16,4,121.137
16,24,1,177.239
16,24,2,178.416
16,24,3,176.516
16,24,4,178.64
16,32,1,235.317
16,32,2,235.852
16,32,3,236.456
16,32,4,235.423
24,1,1,15.5876
24,1,2,15.4275
24,1,3,16.2238
24,1,4,15.3897
24,2,1,21.2734
24,2,2,20.384
24,2,3,21.0317
24,2,4,23.0377
24,4,1,35.1941
24,4,2,35.9489
24,4,3,35.4501
24,4,4,35.3797
24,8,1,63.4031
24,8,2,63.5957
24,8,3,63.8323
24,8,4,63.6763
24,16,1,122
24,16,2,120.383
24,16,3,120.267
24,16,4,120.208
24,24,1,253.537
24,24,2,253.524
24,24,3,253.811
24,24,4,253.968
24,32,1,290.748
24,32,2,290.966
24,32,3,291.129
24,32,4,290.88
32,1,1,15.3685
32,1,2,15.7209
32,1,3,15.2486
32,1,4,15.4214
32,2,1,21.4075
32,2,2,21.3426
32,2,3,21.3074
32,2,4,21.2074
32,4,1,35.914
32,4,2,35.5188
32,4,3,35.2803
32,4,4,35.7583
32,8,1,63.3255
32,8,2,63.3722
32,8,3,63.9476
32,8,4,63.5177
32,16,1,121.455
32,16,2,121.009
32,16,3,120.557
32,16,4,120.636
32,24,1,253.911
32,24,2,253.604
32,24,3,253.676
32,24,4,253.523
32,32,1,294.692
32,32,2,293.945
32,32,3,294.328
32,32,4,293.655
