gpu_max_hw_queues,num_streams,run_id,time_ms
1,1,1,55.1842
1,1,2,55.9279
1,1,3,569.462
1,1,4,61.1785
1,2,1,105.56
1,2,2,108.804
1,2,3,111.467
1,2,4,107.204
1,4,1,110.49
1,4,2,117.758
1,4,3,1078.07
1,4,4,99.169
1,8,1,1807.11
1,8,2,776.064
1,8,3,475.005
1,8,4,669.043
1,16,1,2004.46
1,16,2,2940.25
1,16,3,3457.41
1,16,4,2459.33
1,24,1,5454.18
1,24,2,5518.06
1,24,3,4161.17
1,24,4,3003.67
1,32,1,8871.23
1,32,2,4845.57
1,32,3,6763.8
1,32,4,1639.46
2,1,1,34.4849
2,1,2,48.5733
2,1,3,34.5221
2,1,4,63.9398
2,2,1,109.48
2,2,2,105.727
2,2,3,64.5522
2,2,4,100.442
2,4,1,158.842
2,4,2,139.922
2,4,3,155.924
2,4,4,158.161
2,8,1,765.299
2,8,2,728.44
2,8,3,763.211
2,8,4,766.651
2,16,1,3010.74
2,16,2,2973.98
2,16,3,1741.76
2,16,4,1758.62
2,24,1,4225.88
2,24,2,3005.49
2,24,3,3978.46
2,24,4,4354.16
2,32,1,3556.59
2,32,2,5087.91
2,32,3,7505.18
2,32,4,6816.52
4,1,1,58.1651
4,1,2,53.9086
4,1,3,55.8742
4,1,4,42.2741
4,2,1,78.4267
4,2,2,109.446
4,2,3,65.5856
4,2,4,106.484
4,4,1,153.713
4,4,2,157.425
4,4,3,156.359
4,4,4,765.674
4,8,1,509.544
4,8,2,571.4
4,8,3,383.098
4,8,4,1850.37
4,16,1,4166.08
4,16,2,4127.86
4,16,3,4206.91
4,16,4,4152.28
4,24,1,6611.84
4,24,2,6752.12
4,24,3,6368.73
4,24,4,6666.47
4,32,1,11663.2
4,32,2,11574.6
4,32,3,9066.91
4,32,4,44693
8,1,1,54.3828
8,1,2,57.1252
8,1,3,57.9415
8,1,4,55.19
8,2,1,115.425
8,2,2,153.858
8,2,3,85.9478
8,2,4,65.4757
8,4,1,122.405
8,4,2,122.196
8,4,3,157.35
8,4,4,155.824
8,8,1,421.85
8,8,2,169.549
8,8,3,257.544
8,8,4,262.245
8,16,1,2806.51
8,16,2,5347.48
8,16,3,2772.15
8,16,4,4117.84
8,24,1,7065.85
8,24,2,7370.38
8,24,3,7690.7
8,24,4,12249.2
8,32,1,45828.7
8,32,2,43393
8,32,3,38821.6
8,32,4,28004.9
16,1,1,58.736
16,1,2,60.1878
16,1,3,63.5371
16,1,4,61.9572
16,2,1,118.428
16,2,2,126.45
16,2,3,120.881
16,2,4,122.485
16,4,1,169.809
16,4,2,177.359
16,4,3,1032.36
16,4,4,178.4
16,8,1,288.556
16,8,2,434.851
16,8,3,498.953
16,8,4,327.624
16,16,1,5526.85
16,16,2,5477.93
16,16,3,3371.84
16,16,4,5043.06
16,24,1,8917.82
16,24,2,15359
16,24,3,7241.44
16,24,4,6545.79
16,32,1,10950.3
16,32,2,13836.9
16,32,3,16247.4
16,32,4,16053.3
24,1,1,63.2145
24,1,2,1339.73
24,1,3,63.9775
24,1,4,62.197
24,2,1,121.604
24,2,2,122.816
24,2,3,120.447
24,2,4,117.876
24,4,1,172.608
24,4,2,173.298
24,4,3,175.541
24,4,4,1018.1
24,8,1,342.27
24,8,2,1582.08
24,8,3,298.595
24,8,4,1496.23
24,16,1,3785.87
24,16,2,3786.81
24,16,3,3291.55
24,16,4,6194.86
24,24,1,548.844
24,24,2,583.586
24,24,3,540.571
24,24,4,553.663
24,32,1,677.71
24,32,2,701.511
24,32,3,665.791
24,32,4,680.099
32,1,1,841.871
32,1,2,58.4342
32,1,3,64.9662
32,1,4,63.2136
32,2,1,99.7311
32,2,2,111.837
32,2,3,108.652
32,2,4,114.436
32,4,1,178.309
32,4,2,173.771
32,4,3,172.716
32,4,4,152.129
32,8,1,644.256
32,8,2,523.365
32,8,3,535.828
32,8,4,285.444
32,16,1,6246.94
32,16,2,5429.27
32,16,3,6368.96
32,16,4,4543.85
32,24,1,523.345
32,24,2,508.358
32,24,3,519.83
32,24,4,579.903
32,32,1,1154.73
32,32,2,955.14
32,32,3,780.483
32,32,4,882.213
