gpu_max_hw_queues,num_streams,run_id,time_ms
1,1,1,58.99
1,1,2,63.1934
1,1,3,1214.98
1,1,4,57.9368
1,2,1,117.516
1,2,2,120.844
1,2,3,122.431
1,2,4,119.742
1,4,1,150.119
1,4,2,193.039
1,4,3,177.13
1,4,4,176.052
1,8,1,1567.36
1,8,2,733.485
1,8,3,764.662
1,8,4,1802.39
1,16,1,2990.23
1,16,2,4379.43
1,16,3,3198.77
1,16,4,3650.99
1,24,1,3991.62
1,24,2,4362.25
1,24,3,4167.54
1,24,4,4587.59
1,32,1,5540.99
1,32,2,4362.84
1,32,3,4797.21
1,32,4,6663.71
2,1,1,58.7259
2,1,2,615.099
2,1,3,60.1628
2,1,4,1127.79
2,2,1,115.456
2,2,2,117.361
2,2,3,109.82
2,2,4,93.7631
2,4,1,168.7
2,4,2,178.936
2,4,3,178.03
2,4,4,1141.19
2,8,1,1727.47
2,8,2,843.692
2,8,3,739.42
2,8,4,1817.68
2,16,1,1762.73
2,16,2,2308.8
2,16,3,1517.81
2,16,4,1438.76
2,24,1,4225.5
2,24,2,2987.86
2,24,3,4485.52
2,24,4,2755.9
2,32,1,5535.53
2,32,2,6517.36
2,32,3,6658.5
2,32,4,4953.24
4,1,1,1193.09
4,1,2,66.6006
4,1,3,60.2028
4,1,4,64.9163
4,2,1,121.349
4,2,2,123.22
4,2,3,114.803
4,2,4,114.557
4,4,1,175.909
4,4,2,174.632
4,4,3,172.936
4,4,4,178.795
4,8,1,643.07
4,8,2,666.95
4,8,3,2931.88
4,8,4,1631.89
4,16,1,3001.87
4,16,2,4176.12
4,16,3,4597.13
4,16,4,2980.96
4,24,1,6104.35
4,24,2,11873.6
4,24,3,11022.4
4,24,4,7903.92
4,32,1,9369.05
4,32,2,11324
4,32,3,14869.1
4,32,4,10577.8
8,1,1,62.9218
8,1,2,58.4859
8,1,3,60.9225
8,1,4,60.3416
8,2,1,120.452
8,2,2,142.847
8,2,3,128.856
8,2,4,115.465
8,4,1,173.38
8,4,2,186.415
8,4,3,153.491
8,4,4,158.766
8,8,1,461.744
8,8,2,544.211
8,8,3,1651.16
8,8,4,554.76
8,16,1,4051.91
8,16,2,4115.15
8,16,3,4129.39
8,16,4,2887.66
8,24,1,8497.12
8,24,2,9232.93
8,24,3,6461.08
8,24,4,8105.57
8,32,1,11951.8
8,32,2,9822.36
8,32,3,10828.3
8,32,4,11486.9
16,1,1,62.1293
16,1,2,61.9556
16,1,3,62.9458
16,1,4,57.6096
16,2,1,117.862
16,2,2,105.406
16,2,3,120.438
16,2,4,114.503
16,4,1,182.403
16,4,2,225.836
16,4,3,189.751
16,4,4,184.383
16,8,1,451.794
16,8,2,430.996
16,8,3,637.754
16,8,4,641.035
16,16,1,4736.14
16,16,2,8089.04
16,16,3,8385.12
16,16,4,3524.09
16,24,1,26382.6
16,24,2,7671.06
16,24,3,7106.12
16,24,4,7680.63
16,32,1,11630.6
16,32,2,60468.9
16,32,3,9970.25
16,32,4,12551
24,1,1,61.3001
24,1,2,58.7481
24,1,3,1116.37
24,1,4,62.1103
24,2,1,120.985
24,2,2,125.376
24,2,3,122.771
24,2,4,125.441
24,4,1,171.62
24,4,2,152.548
24,4,3,154.125
24,4,4,173.415
24,8,1,271.985
24,8,2,556.846
24,8,3,525.619
24,8,4,449.295
24,16,1,5671.03
24,16,2,1488.4
24,16,3,5033.87
24,16,4,9046.71
24,24,1,567.079
24,24,2,571.027
24,24,3,564.512
24,24,4,559.01
24,32,1,693.064
24,32,2,675.904
24,32,3,717.784
24,32,4,676.533
32,1,1,998.961
32,1,2,64.2106
32,1,3,62.9515
32,1,4,56.6059
32,2,1,116.207
32,2,2,114.934
32,2,3,95.8161
32,2,4,136.81
32,4,1,180.929
32,4,2,204.314
32,4,3,478.666
32,4,4,176.387
32,8,1,571.26
32,8,2,599.004
32,8,3,643.75
32,8,4,426.486
32,16,1,6373.52
32,16,2,3854.98
32,16,3,3676.15
32,16,4,1422.77
32,24,1,519.524
32,24,2,491.948
32,24,3,527.457
32,24,4,570.332
32,32,1,820.538
32,32,2,759.811
32,32,3,759.743
32,32,4,795.927
