gpu_max_hw_queues,num_streams,run_id,time_ms
1,1,1,8.59634
1,1,2,8.57825
1,1,3,8.54632
1,1,4,8.70804
1,2,1,16.1513
1,2,2,16.1582
1,2,3,16.0851
1,2,4,16.0105
1,4,1,31.0347
1,4,2,31.0444
1,4,3,31.0479
1,4,4,30.9487
1,8,1,60.4446
1,8,2,60.8664
1,8,3,58.1092
1,8,4,57.8893
1,16,1,114.078
1,16,2,114.504
1,16,3,119.59
1,16,4,117.273
1,24,1,170.174
1,24,2,171.193
1,24,3,171.138
1,24,4,171.281
1,32,1,229.383
1,32,2,225.928
1,32,3,225.807
1,32,4,224.999
2,1,1,8.75043
2,1,2,8.60752
2,1,3,8.69364
2,1,4,8.76407
2,2,1,17.0447
2,2,2,17.9108
2,2,3,17.5598
2,2,4,17.7379
2,4,1,31.1949
2,4,2,31.4951
2,4,3,31.9374
2,4,4,31.9053
2,8,1,58.4898
2,8,2,58.3107
2,8,3,58.0637
2,8,4,59.199
2,16,1,110.084
2,16,2,110.327
2,16,3,110.07
2,16,4,108.971
2,24,1,162.442
2,24,2,162.271
2,24,3,162.182
2,24,4,164.692
2,32,1,212.576
2,32,2,212.543
2,32,3,215.052
2,32,4,212.796
4,1,1,8.85111
4,1,2,8.59665
4,1,3,8.57417
4,1,4,8.57595
4,2,1,17.32
4,2,2,17.8356
4,2,3,17.8437
4,2,4,18.0567
4,4,1,31.7918
4,4,2,31.3145
4,4,3,31.6197
4,4,4,31.7357
4,8,1,55.4213
4,8,2,55.1591
4,8,3,55.066
4,8,4,54.9042
4,16,1,100.833
4,16,2,101.942
4,16,3,101.34
4,16,4,100.53
4,24,1,146.984
4,24,2,147.155
4,24,3,147.438
4,24,4,147.615
4,32,1,196.851
4,32,2,194.09
4,32,3,193.579
4,32,4,193.097
8,1,1,8.5389
8,1,2,8.55483
8,1,3,8.71773
8,1,4,8.70036
8,2,1,17.6145
8,2,2,17.9402
8,2,3,17.9786
8,2,4,17.8411
8,4,1,31.4037
8,4,2,31.4875
8,4,3,31.7486
8,4,4,32.3442
8,8,1,86.2495
8,8,2,91.2843
8,8,3,90.0705
8,8,4,89.8855
8,16,1,171.346
8,16,2,169.942
8,16,3,173.246
8,16,4,174.518
8,24,1,262.872
8,24,2,263.833
8,24,3,260.041
8,24,4,258.572
8,32,1,342.759
8,32,2,348.92
8,32,3,349.531
8,32,4,350.553
16,1,1,8.895
16,1,2,8.70131
16,1,3,8.56474
16,1,4,8.56564
16,2,1,18.1699
16,2,2,17.4992
16,2,3,18.588
16,2,4,17.9516
16,4,1,31.4506
16,4,2,31.2898
16,4,3,31.5606
16,4,4,31.6092
16,8,1,90.2449
16,8,2,88.8119
16,8,3,90.788
16,8,4,90.1758
16,16,1,181.909
16,16,2,180.07
16,16,3,181.362
16,16,4,186.083
16,24,1,264.815
16,24,2,262.792
16,24,3,264.138
16,24,4,262.984
16,32,1,339.95
16,32,2,341.333
16,32,3,342.739
16,32,4,341.198
24,1,1,8.5507
24,1,2,8.56445
24,1,3,8.69021
24,1,4,8.67769
24,2,1,17.5716
24,2,2,18.0669
24,2,3,17.9584
24,2,4,17.8572
24,4,1,31.4463
24,4,2,31.4448
24,4,3,31.23
24,4,4,31.3272
24,8,1,89.4631
24,8,2,88.6403
24,8,3,87.0413
24,8,4,89.3548
24,16,1,185.32
24,16,2,191.319
24,16,3,183.243
24,16,4,182.058
24,24,1,285.417
24,24,2,295.192
24,24,3,285.788
24,24,4,283.552
24,32,1,370.614
24,32,2,376.715
24,32,3,377.505
24,32,4,377.854
32,1,1,8.55986
32,1,2,8.68924
32,1,3,8.80328
32,1,4,8.75737
32,2,1,18.4944
32,2,2,17.594
32,2,3,17.4485
32,2,4,17.6268
32,4,1,31.647
32,4,2,31.0718
32,4,3,31.4816
32,4,4,31.2138
32,8,1,85.1458
32,8,2,88.362
32,8,3,89.8566
32,8,4,87.0988
32,16,1,185.063
32,16,2,188.433
32,16,3,184.907
32,16,4,178.8
32,24,1,292.884
32,24,2,296.513
32,24,3,290.304
32,24,4,291.535
32,32,1,382.053
32,32,2,374.127
32,32,3,369.603
32,32,4,380.139
