gpu_max_hw_queues,num_streams,run_id,time_ms
1,1,1,8.56185
1,1,2,8.6143
1,1,3,8.58694
1,1,4,8.57387
1,2,1,16.0591
1,2,2,16.0564
1,2,3,16.0462
1,2,4,16.2062
1,4,1,30.7714
1,4,2,31.0493
1,4,3,30.8979
1,4,4,30.9846
1,8,1,60.5013
1,8,2,58.1865
1,8,3,61.6135
1,8,4,60.5882
1,16,1,114.409
1,16,2,114.058
1,16,3,116.022
1,16,4,114.455
1,24,1,170.16
1,24,2,171.066
1,24,3,170.173
1,24,4,171.728
1,32,1,226.035
1,32,2,226.351
1,32,3,225.326
1,32,4,225.931
2,1,1,8.54208
2,1,2,8.73015
2,1,3,8.9318
2,1,4,8.55806
2,2,1,17.6464
2,2,2,17.5826
2,2,3,17.7103
2,2,4,18.0042
2,4,1,32.1355
2,4,2,32.5499
2,4,3,32.4156
2,4,4,31.9837
2,8,1,58.4181
2,8,2,58.318
2,8,3,58.3054
2,8,4,58.9828
2,16,1,111.897
2,16,2,111.26
2,16,3,109.795
2,16,4,110.704
2,24,1,161.881
2,24,2,161.683
2,24,3,163.032
2,24,4,161.848
2,32,1,214.176
2,32,2,214.58
2,32,3,216.809
2,32,4,217.415
4,1,1,8.67507
4,1,2,8.88451
4,1,3,8.71714
4,1,4,8.61765
4,2,1,17.2815
4,2,2,17.4604
4,2,3,17.678
4,2,4,17.3962
4,4,1,31.7635
4,4,2,32.0391
4,4,3,31.7743
4,4,4,31.3815
4,8,1,55.909
4,8,2,55.0885
4,8,3,55.0424
4,8,4,54.6431
4,16,1,100.407
4,16,2,101.553
4,16,3,100.665
4,16,4,101.015
4,24,1,153.114
4,24,2,146.578
4,24,3,147.719
4,24,4,150.064
4,32,1,193.799
4,32,2,196.808
4,32,3,200.718
4,32,4,192.871
8,1,1,8.7248
8,1,2,8.56665
8,1,3,8.7028
8,1,4,8.58972
8,2,1,17.6726
8,2,2,17.6972
8,2,3,17.7297
8,2,4,17.1069
8,4,1,31.8199
8,4,2,31.3661
8,4,3,31.7936
8,4,4,31.4273
8,8,1,89.4955
8,8,2,88.5595
8,8,3,89.1945
8,8,4,86.4365
8,16,1,177.656
8,16,2,178.009
8,16,3,178.055
8,16,4,173.703
8,24,1,265.291
8,24,2,263.399
8,24,3,262.324
8,24,4,262.693
8,32,1,331.453
8,32,2,327.325
8,32,3,331.236
8,32,4,328.391
16,1,1,8.54616
16,1,2,9.55619
16,1,3,8.57614
16,1,4,8.70078
16,2,1,18.2437
16,2,2,17.6597
16,2,3,17.9565
16,2,4,18.0696
16,4,1,31.3096
16,4,2,31.8151
16,4,3,31.6555
16,4,4,31.325
16,8,1,89.8206
16,8,2,89.1354
16,8,3,88.1153
16,8,4,88.044
16,16,1,179.044
16,16,2,184.623
16,16,3,173.084
16,16,4,173.187
16,24,1,251.413
16,24,2,249.535
16,24,3,249.867
16,24,4,243.848
16,32,1,316.243
16,32,2,336.398
16,32,3,322.424
16,32,4,325.899
24,1,1,8.68573
24,1,2,8.56553
24,1,3,8.57883
24,1,4,8.59023
24,2,1,17.4835
24,2,2,17.7395
24,2,3,18.126
24,2,4,18.01
24,4,1,31.604
24,4,2,31.2289
24,4,3,31.1701
24,4,4,31.1323
24,8,1,86.4545
24,8,2,83.7648
24,8,3,80.9417
24,8,4,86.4273
24,16,1,169.218
24,16,2,172.177
24,16,3,172.837
24,16,4,170.488
24,24,1,271.386
24,24,2,272.889
24,24,3,271.9
24,24,4,275.248
24,32,1,357.111
24,32,2,362.561
24,32,3,358.059
24,32,4,352.253
32,1,1,8.76649
32,1,2,8.57968
32,1,3,8.72619
32,1,4,8.66436
32,2,1,17.9944
32,2,2,17.6131
32,2,3,18.3347
32,2,4,17.9984
32,4,1,31.2525
32,4,2,31.7675
32,4,3,31.1694
32,4,4,31.3095
32,8,1,86.9891
32,8,2,88.6452
32,8,3,85.5557
32,8,4,86.2597
32,16,1,171.579
32,16,2,173.963
32,16,3,170.027
32,16,4,173.384
32,24,1,275.093
32,24,2,270.881
32,24,3,270.887
32,24,4,273.291
32,32,1,414.898
32,32,2,415.34
32,32,3,416.027
32,32,4,415.196
